pr,base,state,family,category,title,url
1047,icml-appendix-willow-pai2e-r2,OPEN,Tooling / audit,Open / uncategorized,Gradient norm clipping (max_norm 0.5 / 1.0) on warmup baseline,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1047
1048,icml-appendix-willow-pai2e-r2,MERGED,Tooling / audit,Model architecture,Architecture width: n_hidden=128 -> 192 (relative_mae + warmup baseline),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1048
1079,icml-appendix-willow-pai2e-r2,OPEN,Training Efficiency,Open / uncategorized,"Architecture: n_hidden=192, n_layers=2 (width×depth trade + throughput unlock)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1079
743,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,Per-channel surface loss: 3x weight on pressure,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/743
748,icml-appendix-willow-pai2e-r3,CLOSED,Model capacity,Model architecture,"Transolver 2x capacity scale-up (n_hidden=192, n_layers=8)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/748
750,icml-appendix-willow-pai2e-r3,CLOSED,LR / schedule,LR / optimizer,"Linear warmup + cosine LR schedule (lr=1e-3, wd=5e-4)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/750
751,icml-appendix-willow-pai2e-r3,CLOSED,EMA / stability,Model architecture,Dropout 0.1 + stochastic depth (regularization),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/751
756,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Feature engineering,Fourier features for log(Re) input encoding,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/756
759,icml-appendix-willow-pai2e-r3,CLOSED,EMA / stability,Model architecture,EMA model weights (decay=0.999),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/759
761,icml-appendix-willow-pai2e-r3,MERGED,Loss / weighting,Loss function,L1 (MAE) surface loss aligned with metric,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/761
762,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Other,Boundary-layer feature: log(Re*|saf|) as input,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/762
807,icml-appendix-willow-pai2e-r3,MERGED,Tooling / audit,Other,Bug fix: NaN-safe masked accumulation in scoring + eval,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/807
814,icml-appendix-willow-pai2e-r3,MERGED,Loss / weighting,Loss function,Huber surface loss (delta=1.0) to align training with MAE metric,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/814
815,icml-appendix-willow-pai2e-r3,MERGED,Physics / features,Model architecture,FiLM conditioning each Transolver block on log(Re),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/815
847,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,Huber surface loss: tighten delta from 1.0 to 0.5 (closer to L1),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/847
858,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,Focal surface loss: up-weight high-error nodes (gamma=1.0),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/858
869,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,Surface weight sweep: test surf_weight=3.0 and 5.0 (rebalance L1 gradient ratio),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/869
884,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,RevIN: per-sample y normalization for surface loss (cross-Re amplitude invariance),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/884
902,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,Volume L1 loss: mirror surface L1 success on volume side,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/902
909,icml-appendix-willow-pai2e-r3,MERGED,Physics / features,Model architecture,Pre-block FiLM: condition attention input rather than output,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/909
910,icml-appendix-willow-pai2e-r3,MERGED,Loss / weighting,Loss function,Re-stratified batch sampling: Re-diverse mini-batches for FiLM+L1,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/910
917,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Model architecture,Re-input noise augmentation: smooth FiLM conditioning,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/917
924,icml-appendix-willow-pai2e-r3,CLOSED,Model capacity,Model architecture,Per-channel output heads (Ux/Uy/p) — decouple decoder pathways,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/924
927,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,"Per-channel volume loss: L1 on p only, MSE on Ux/Uy",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/927
934,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Model architecture,Layer-targeted FiLM: pre-block conditioning on last 2 blocks only,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/934
936,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,Depth scaling: n_layers=7 on full FiLM+L1+Re-stratify stack,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/936
937,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Model architecture,Dual FiLM: pre-block + post-block Re conditioning per block,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/937
952,icml-appendix-willow-pai2e-r3,CLOSED,Model capacity,Model architecture,Wider single output head: 128→256→3 (capacity vs independence),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/952
961,icml-appendix-willow-pai2e-r3,MERGED,Model capacity,Model architecture,SwiGLU MLP: replace GELU MLP with Swish-gated linear unit,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/961
962,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,EMA model weights on FiLM+L1+Re-stratify (revisit #759 in new regime),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/962
969,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Model architecture,Vertical-flip data augmentation (geometric symmetry) on FiLM+Re-stratify,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/969
970,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Model architecture,Shared FiLM head: one head reused at all 5 blocks (rank-reduction probe),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/970
975,icml-appendix-willow-pai2e-r3,CLOSED,Loss / weighting,Loss function,DropPath (stochastic depth) rate sweep on FiLM+L1+Re-stratify,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/975
976,icml-appendix-willow-pai2e-r3,OPEN,Physics / features,Open / uncategorized,"Multi-variable FiLM: condition on (log_Re, AoA1, AoA2)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/976
983,icml-appendix-willow-pai2e-r3,MERGED,Model capacity,Model architecture,SwiGLU parameter-matched ablation: mlp_ratio=1 vs 2 (bilinear gating vs capacity),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/983
993,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Other,Test-time augmentation (TTA) with vertical flip — inference-time symmetry exploit,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/993
999,icml-appendix-willow-pai2e-r3,MERGED,Physics / features,Physics / normalization,RMSNorm replacing LayerNorm — canonical SwiGLU pairing,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/999
1016,icml-appendix-willow-pai2e-r3,OPEN,Training Efficiency,Open / uncategorized,bf16 mixed precision training — wall-clock unlock + cosine recovery,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1016
1020,icml-appendix-willow-pai2e-r3,OPEN,Model capacity,Open / uncategorized,"Ultra-thin SwiGLU (mlp_ratio=2/3, 0.51M params) — parameter-efficiency push",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1020
1021,icml-appendix-willow-pai2e-r3,OPEN,Physics / features,Open / uncategorized,"slice_num sweep {32, 64, 96, 128} — physics-attention resolution ablation",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1021
1029,icml-appendix-willow-pai2e-r3,OPEN,Loss / weighting,Open / uncategorized,Surface loss reweighting by per-node pressure quantile — heavy-tail-targeted gradient,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1029
1056,icml-appendix-willow-pai2e-r3,OPEN,LR / schedule,Open / uncategorized,"Learning rate sweep (lr=2e-4, 5e-4, 1e-3) — optimizer axis never re-tuned since round 1",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1056
1057,icml-appendix-willow-pai2e-r3,CLOSED,Physics / features,Model architecture,"NACA_M FiLM: condition FiLM on (log_Re, NACA_M1) — geometry-aware modulation targeting camber OOD splits",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1057
1060,icml-appendix-willow-pai2e-r3,CLOSED,LR / schedule,LR / optimizer,EMA weight averaging (decay sweep) — free-improvement Pareto axis on cosine-LR canonical,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1060
1061,icml-appendix-willow-pai2e-r3,CLOSED,Training Efficiency,Training efficiency,NACA_M1-stratified batch sampling — camber-axis gradient equalization targeting geom_camber_rc,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1061
1076,icml-appendix-willow-pai2e-r3,OPEN,Physics / features,Open / uncategorized,"Coordinate-frame canonicalization (rotate (x,y) by -AoA1) — physics-informed inductive bias for camber OOD",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1076
1080,icml-appendix-willow-pai2e-r3,OPEN,Physics / features,Open / uncategorized,Polynomial cross-features for conditioning vars — explicit nonlinear physics priors,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1080
749,icml-appendix-willow-pai2e-r4,CLOSED,Model capacity,Model architecture,"Scale Transolver to n_hidden=256, n_layers=8, n_head=8",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/749
752,icml-appendix-willow-pai2e-r4,MERGED,Loss / weighting,Loss function,L1 absolute-error loss aligned with MAE metric,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/752
753,icml-appendix-willow-pai2e-r4,CLOSED,Loss / weighting,Loss weighting,Sweep surf_weight up: 20 / 30 / 50,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/753
754,icml-appendix-willow-pai2e-r4,MERGED,Loss / weighting,Loss function,Per-channel loss weight: pressure 3x,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/754
755,icml-appendix-willow-pai2e-r4,CLOSED,Physics / features,Feature engineering,Double slice tokens: slice_num=64 -> 128,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/755
757,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,LR / optimizer,Add 5% linear warmup before cosine decay,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/757
758,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,LR / optimizer,Higher peak LR (1e-3) with 10% warmup,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/758
760,icml-appendix-willow-pai2e-r4,CLOSED,Training Efficiency,Training efficiency,Double batch size: batch_size=4 -> 8,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/760
797,icml-appendix-willow-pai2e-r4,MERGED,Tooling / audit,Other,Guard non-finite predictions in evaluate_split (unblocks test_avg/mae_surf_p),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/797
816,icml-appendix-willow-pai2e-r4,OPEN,Physics / features,Open / uncategorized,"FiLM-condition Transolver blocks on global scalars (log Re, AoA, NACA, gap, stagger)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/816
818,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,LR / optimizer,"SGDR Cosine Warm Restarts (T_0=10, T_mult=2)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/818
819,icml-appendix-willow-pai2e-r4,CLOSED,Loss / weighting,Loss function,Relative L2 loss: per-sample target-norm normalization on top of L1,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/819
820,icml-appendix-willow-pai2e-r4,MERGED,Physics / features,Feature engineering,"Fourier positional encoding on (x, z) coordinates",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/820
829,icml-appendix-willow-pai2e-r4,CLOSED,Loss / weighting,Loss weighting,Sweep p-channel weight: 5x and 10x continuation of merged 3x,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/829
851,icml-appendix-willow-pai2e-r4,CLOSED,Loss / weighting,Loss function,"Huber loss with delta=1.0 (smooth near zero, L1 outlier behavior)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/851
861,icml-appendix-willow-pai2e-r4,CLOSED,Training Efficiency,Other,Geometric oversampling: subsample volume nodes to 15% in train,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/861
863,icml-appendix-willow-pai2e-r4,MERGED,Training Efficiency,Other,Seed torch/numpy/random/sampler for reproducible val_avg,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/863
872,icml-appendix-willow-pai2e-r4,CLOSED,Physics / features,Other,Domain-ID embedding (3-class from gap/AoA1),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/872
873,icml-appendix-willow-pai2e-r4,CLOSED,EMA / stability,Model architecture,EMA model weights (Polyak averaging),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/873
880,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,Feature engineering,LinearNO ELU+1 linear attention (replace softmax in slice attn),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/880
883,icml-appendix-willow-pai2e-r4,CLOSED,Physics / features,Feature engineering,"Sweep fourier_bands K in {3, 6, 8}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/883
888,icml-appendix-willow-pai2e-r4,CLOSED,Loss / weighting,Loss weighting,Stratified volume subsampling weighted by distance to surface,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/888
914,icml-appendix-willow-pai2e-r4,MERGED,Model capacity,Model architecture,"SwiGLU MLP swap (replace per-block GELU FFN with gated SiLU, param-parity)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/914
920,icml-appendix-willow-pai2e-r4,CLOSED,Physics / features,Physics / normalization,Per-block coordinate skip-connection (re-inject Fourier-encoded coords at each Transolver block),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/920
929,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,LR / optimizer,[willowpai2e4-nezuko] DropPath / Stochastic Depth at rate 0.1 linear schedule,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/929
938,icml-appendix-willow-pai2e-r4,CLOSED,Physics / features,Feature engineering,"[willowpai2e4-tanjiro] Random Fourier Features encoding (sigma=10, replace axis-aligned PE)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/938
939,icml-appendix-willow-pai2e-r4,CLOSED,Tooling / audit,Model architecture,[willowpai2e4-frieren] n_layers=6: one additional Transolver block on SwiGLU baseline,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/939
949,icml-appendix-willow-pai2e-r4,CLOSED,Model capacity,Other,[willowpai2e4-fern] LayerScale: per-channel learnable residual scaling (γ_init=1e-4),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/949
955,icml-appendix-willow-pai2e-r4,CLOSED,Model capacity,Model architecture,[willowpai2e4-thorfinn] Per-channel output heads (Ux/Uy/p separate decoder MLPs),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/955
963,icml-appendix-willow-pai2e-r4,MERGED,LR / schedule,LR / optimizer,[willowpai2e4-frieren] Schedule-to-budget: CosineAnnealingLR T_max=13 (match actual training horizon),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/963
972,icml-appendix-willow-pai2e-r4,CLOSED,Tooling / audit,Feature engineering,"[willowpai2e4-askeladd] 3-seed mean canonical baseline (--seed {0,1,2} on post-#914)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/972
979,icml-appendix-willow-pai2e-r4,CLOSED,Physics / features,Model architecture,"[willowpai2e4-thorfinn] Pressure-only head: decouple p only, keep Ux+Uy shared",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/979
1000,icml-appendix-willow-pai2e-r4,CLOSED,Tooling / audit,Other,"T_max sweep {10,12,13,16} at seed=0 — canonical seeded baseline",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1000
1002,icml-appendix-willow-pai2e-r4,CLOSED,Training Efficiency,Training efficiency,DropPath rate=0.05 + T_max=13: convergence-budget-aware regularization,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1002
1006,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,Model architecture,n_layers=6 retest at T_max=11 — budget-matched depth test,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1006
1007,icml-appendix-willow-pai2e-r4,CLOSED,LR / schedule,Feature engineering,RFF hybrid: axis-aligned + σ=10 RFF concat at T_max=13,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1007
1017,icml-appendix-willow-pai2e-r4,OPEN,Loss / weighting,Open / uncategorized,"Channel-weight re-tune at T_max=13: p-weight sweep {2,4,6}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1017
1022,icml-appendix-willow-pai2e-r4,OPEN,Tooling / audit,Open / uncategorized,[willowpai2e4-askeladd] 3-seed mean canonical at T_max=13 — paper-facing baseline,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1022
1023,icml-appendix-willow-pai2e-r4,OPEN,LR / schedule,Open / uncategorized,"Peak LR sweep at T_max=13: lr ∈ {3e-4, 5e-4, 7.5e-4, 1e-3}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1023
1026,icml-appendix-willow-pai2e-r4,OPEN,LR / schedule,Open / uncategorized,"n_head sweep at T_max=13: n_head ∈ {2, 4, 8} — attention shape re-validation",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1026
